,time,id,like,text
0,Sun Nov 28 23:54:09 +0000 2021,1465106771458998275,19,They r running out of the bracelets for vaccination check😪
1,Sun Nov 28 23:57:55 +0000 2021,1465107721905053698,0,"#Murdoch's Sky News--more correctly : Sty ""News""--is to good journalism what COVID-19 is to good health. https://t.co/grwaVHQsVR"
2,Sun Nov 28 23:54:16 +0000 2021,1465106801041444865,0,covid taught me to keep clean areas separate from dirty areas
3,Sun Nov 28 23:55:59 +0000 2021,1465107233738399749,0,"@skybrian OK, found it.  I am dismayed.  https://t.co/20kkFmdqW3"
4,Sun Nov 28 23:59:39 +0000 2021,1465108154480349186,0,"Faced with rising competition from startups, higher expectations from consumers and the increased digital demands of COVID-19, banks are speeding up a monumental shift of operations to the #cloud from legacy #computer systems. #CloudComputing #tech https://t.co/cyflVk7psB"
5,Sun Nov 28 23:58:58 +0000 2021,1465107982950309894,50,"@thehill No, we DON'T ""have to start living with COVID"", the capitalist US government just refuses to do what is necessary to eradicate the virus: https://t.co/JoNxpUGVXd"
6,Sun Nov 28 23:55:23 +0000 2021,1465107084345806852,8,"Glen Beck, Exposes Moderna, Watch👇👇👇👇  https://t.co/VzXOKKE6tB"
7,Sun Nov 28 23:58:31 +0000 2021,1465107869163008000,0,@patknadolski @Malinowski So are 1000 a day not dying from covid?
8,Sun Nov 28 23:58:20 +0000 2021,1465107826246709250,0,"@SuePep52 Frankly it began as a point about challenging the idea we don't need them by McMahon. Then a covid-19 grifter hit in with, ""have I got a deal for you ... FIFOs live in mine"". Then I told him that sleeping 9:00pm to 5:00am isn't what quarantine is about. Now Karen says NO b SILENT"
9,Sun Nov 28 23:55:15 +0000 2021,1465107049826689029,2,COVID didn’t kill your parents.  https://t.co/QOcvHLFLSU 04
10,Sun Nov 28 23:58:30 +0000 2021,1465107867950882827,3,@elwdbm @Boogie2988 Honestly dude I was gonna argue with you but someone I know died of Covid 3 days ago so just give me a break on this one ok
11,Sun Nov 28 23:59:41 +0000 2021,1465108164060147712,0,"@Tat_Loo @alangibbs301 @caffeine_addict 2. The stats I refer to are, in fact, much more representative than what you have provided. Your stats are mostly of an excessively general / uncontrolled nature, or are excessively cherry-picked (e.g. NI 50+). I refer directly to breakdown by vaccination cohort."
12,Sun Nov 28 23:55:12 +0000 2021,1465107034572050433,13,Seems like we’ll never be able to go back to living our lives outside. The state of New York is getting ready to face a lockdown on or after December 3rd due to the new COVID variant called “omicron.”   Wear your masks people. Wherever you are.
13,Sun Nov 28 23:56:53 +0000 2021,1465107461782839300,4,"@DannyDonnelly1 @abbeycentre We needed strong men during this covid debacle, with the full on erosion of inalienable rights. All we got was weak men playing wannabe fascists. 🤦‍♀️"
14,Sun Nov 28 23:56:13 +0000 2021,1465107293008183301,0,"@GerladBarbarian @milehihappy @Marie38788117 @ryanciminski This study is close &amp; the implications are clear. I find that fortunately, there are many good scientists with ethics.  ""In addition to cardiovascular cells, other cells that express ACE2 have the potential to be affected by the SARS-CoV-2 spike protein..."""
15,Sun Nov 28 23:58:03 +0000 2021,1465107755107332098,0,"@JodyHol13179563 😂😂 They can’t &amp; never have isolated the so-called Covid 🤦‍♀️  so HOW can they test for a variant ? With what ? A Magic wand , Crystal ball 🤨  They make it up as they go along &amp; sheeple believe it 🙄 ….god give me strength 😬"
16,Sun Nov 28 23:59:22 +0000 2021,1465108082992685056,5,@drtobbe @aginnt COVID has always had those potential symptoms. They aren't new with Omicron.
17,Sun Nov 28 23:58:11 +0000 2021,1465107788896555020,0,"@Chriswalshuk1 @thecoastguy Making what up? This new variant, or the whole Covid pandemic?"
18,Sun Nov 28 23:57:11 +0000 2021,1465107537544556548,0,@CheriDiNovo Might want to wait to see if we need a modified booster for the new variant #OmicronVariant from #Pfizer and #Moderna
19,Sun Nov 28 23:59:28 +0000 2021,1465108109915873286,5,Today's Covid-19 numbers will come around 1pm in a written statement. All you need to know will be here:   https://t.co/fbX10LoMCh
20,Sun Nov 28 23:54:57 +0000 2021,1465106974551556105,4,@Jamnandasgodan @disclosetv Now @MinPres and @hugodejonge which liying fake hoax storyline is next? Or do you have to call the WEF first? Just say it everybody needs to have a vaccination paspoort and a social Credit system before june 2022. Africa 6% vaxxed corona gone Holland 85% vaxxed now come the deads https://t.co/xMPtdZB0Rl
21,Sun Nov 28 23:55:06 +0000 2021,1465107010567892996,0,"As usual Morrison will be a day late and a dollar short. National Cabinet to meet to discuss COVID-19 Omicron variant, whether to reinstate hotel quarantine - ABC News https://t.co/gV7Na30SVx"
22,Sun Nov 28 23:54:02 +0000 2021,1465106742963064839,0,"Dr. Fauci says he ""would not be surprised"" if new COVID variant is already in U.S. https://t.co/51OD0OtVKG"
23,Sun Nov 28 23:56:47 +0000 2021,1465107435161636868,1,@arie_scherson Call it the Covid testing strategy
24,Sun Nov 28 23:59:00 +0000 2021,1465107991372480513,1,@The_DHS SA gov is allowing a situation for more mutations to occur &amp; more new variants.  YOU CANNOT HAVE AN OPEN SOCIETY WITH PEOPLE PHYSICALLY INTERACTING &amp; SPREADING THE VIRUS! We need to stop physical interaction to stop the spread &amp; flatten the curve IF we serious bout stopping covid
25,Sun Nov 28 23:58:27 +0000 2021,1465107855065948167,0,Starforst system covid quarenteen thread - 🧵
26,Sun Nov 28 23:58:00 +0000 2021,1465107741949800449,0,@redboybroken @mysorepack They have very low vaccination rates/low rates of immunity
27,Sun Nov 28 23:56:50 +0000 2021,1465107447241052160,14,"@globeandmail @MKutney Shocked I tells ya ,just shocked to learn Omicron is already in 🇨🇦 ,like other parts of the world  FFS when do we get it ..by the time we know of a new variant,it's already circulating cuz Covid doesn't recognize borders"
28,Sun Nov 28 23:54:34 +0000 2021,1465106878418100229,2,"@KariLake Please google ""Coronavirus Variants Explained""  https://t.co/obg2vO4v8e  It is called SCIENCE.    https://t.co/RSX43AvmC9"
29,Sun Nov 28 23:55:54 +0000 2021,1465107210749501441,0,"@JohnnyPenso @_atanas_ @GenocideReaper7 @__goldfinger @DHPSP There are more than 5 Mil deaths attributed to COVID, but not all countries can test enough or report well esp when there is a huge outbreak overwhelming healthcare system  https://t.co/MauSOuaYpV"
30,Sun Nov 28 23:57:42 +0000 2021,1465107667295170560,1,They’ll promise the moon to make a buck. #DoNotComply  #Moderna CMO says Omicron variant may elude current vaccines https://t.co/2XGDUwp092
31,Sun Nov 28 23:56:10 +0000 2021,1465107279980728328,1,"South Africa asked Johnson &amp; Johnson and Pfizer Inc. to suspend delivery of Covid-19 vaccines as it now has enough stock, an illustration of how plunging demand is undermining the country’s rollout ahead of a potential fourth wave of infections."
32,Sun Nov 28 23:54:52 +0000 2021,1465106954355945478,0,Japan stocks set to slide; investors watch developments of omicron Covid variant https://t.co/Tf8mAm7xzQ
33,Sun Nov 28 23:58:21 +0000 2021,1465107830487142402,3,@henchnips @doritmi @TheFrankmanMN @MaryOskii @SallyJiggles @Twitter We know covid vaccines are less about preventing 100% of infections and more about preventing severe infections. Vaccines aren’t causing new strains.
34,Sun Nov 28 23:58:05 +0000 2021,1465107764074762244,0,@denisewu I get mine next week!  I have a face for mask apparel soooo…. I’m keeping mine in even after covid.  🤷‍♂️
35,Sun Nov 28 23:54:27 +0000 2021,1465106847677964291,6,Looks #COVAXIN coming https://t.co/IH8CKFKfrr
36,Sun Nov 28 23:58:18 +0000 2021,1465107817858101248,9,"Fauci fires back at Cruz over COVID claims: ‘I should be prosecuted? What happened on Jan. 6, senator?’ https://t.co/JfpzZPT6GE"
37,Sun Nov 28 23:56:47 +0000 2021,1465107433517240320,0,"@SheaRob16683893 @DeebleJana @totallyblase @ChristianWalk1r “I got Covid twice last year and recovered” that’s too bad, we could have used less of your idiocy in the world."
38,Sun Nov 28 23:56:19 +0000 2021,1465107317611905024,0,Omicron COVID-19 symptoms 'unusual but mild': South African expert | Cor... https://t.co/XC2rWHAbva via @YouTube
39,Sun Nov 28 23:55:32 +0000 2021,1465107118235656192,0,I hear the next COVID-19 variant is 3.14159 times worse.
40,Sun Nov 28 23:59:42 +0000 2021,1465108170020253699,13,China says zero-Covid policy will protect it against Omicron variant https://t.co/ZWhthngy6Q
41,Sun Nov 28 23:57:42 +0000 2021,1465107665768566790,0,And yet 10% of people arriving in the Netherlands from SA were covid positive. How can it he possible to have just 2500 per day nationwide?  The numbers don't stack up. https://t.co/zaumjPwLsq
42,Sun Nov 28 23:54:10 +0000 2021,1465106777041690628,0,"@Ministere_Sante The Ministry should be strategic rather than reactive in managing the COVID pandemic. This requires a balanced response that takes into consideration the health concerns of the country, the individual freedoms, the economical and psychological impacts on Morocco"
43,Sun Nov 28 23:56:10 +0000 2021,1465107281096462340,0,"Cryptocurrency Called Omicron Is Up 137%, Even As the Crypto Market Tumbles Due To New Covid-19 Variant By The Same Name - https://t.co/MyiU5Au3Hv https://t.co/2b9PB2VrDP"
44,Sun Nov 28 23:55:46 +0000 2021,1465107177744441347,1,"NZ Law Society: ""The absence of any measures for public scrutiny and input into a statute of this kind is constitutionally unsound. The rule of law is harmed and public confidence in the law and our democracy is undermined.."" https://t.co/IPqEFC8xvj"
45,Sun Nov 28 23:59:21 +0000 2021,1465108082539778053,1,Fully population in Cuba are being vaccinated with Booster VS covid-19. More than 90% efficasy!!  High protection!!! Dr Fauci has suggested It too!!
46,Sun Nov 28 23:58:17 +0000 2021,1465107811017187330,0,"@johnsann59 @Sammyskitz469 @NZStuff Carry on jerking off to Harry and Meghan, this covid stuff is too much for your little brain. https://t.co/PypzW11bzW"
47,Sun Nov 28 23:56:10 +0000 2021,1465107281591390216,0,"@AlexaM25856 @Crap_Portraits @Toby8282 @IreneBu21037633 @HuwLabourLeftie @JamesMelville If you knew your kids had covid and for some reason HAD to meet your mum in a closed room, would you send your kids in wearing a mask or not?   Don't say you wouldn't send them in - that's not the point."
48,Sun Nov 28 23:58:59 +0000 2021,1465107989304598532,0,Alan Kohler: We need a vaccine against confusion and stupidity https://t.co/8rEU0H47wW
49,Sun Nov 28 23:58:22 +0000 2021,1465107832907481089,0,My heart melted and I was surprised that my friend's mom is my patient I hugged her like my mom. First meet and she introduced herself that she's the mom of my friend. Covid#
50,Sun Nov 28 23:58:38 +0000 2021,1465107899114471437,2,@ImIncorrigible So I heard on LBC that Essex Police are hunting for people who might have been inconvenienced by lnsulate Britain protests to support a charge against climate change protestors. Just after COP26.   But these covid morons seem to be free to roam and spread their dangerous lies.
51,Sun Nov 28 23:57:49 +0000 2021,1465107693660745736,0,@5_Coogs A dear friend of mine is going through chemo.  She already masked before Covid but now she uses a mask and shield.  I avoid judging people bc I don’t know what they are going through in life.
52,Sun Nov 28 23:55:33 +0000 2021,1465107126293082123,0,"Iconic Covid-19 images were designed to create ""a feeling of alarm"" says CDC medical illustrator https://t.co/eFs3vjFc49 via @dezeen"
53,Sun Nov 28 23:54:52 +0000 2021,1465106951776645120,46,she just tested positive for covid last week?💀 https://t.co/wRXFzuWyns
54,Sun Nov 28 23:53:57 +0000 2021,1465106723081916421,51,"AS IT HAPPENS: Mayor @rex_gatchalian  goes to Marilao, Bulacan with the #VCVax team as we participate in the 3-day national vaccination days. https://t.co/QxvrLzfFtN"
55,Sun Nov 28 23:55:16 +0000 2021,1465107053500764164,1,https://t.co/qPnx519DSN Novak Djokovic’s father Srdjan says the world No.1 will probably not compete in next year’s Australian Open and has described the restrictions and requirements in place due to COVID-19 as “blackmail”.
56,Sun Nov 28 23:57:20 +0000 2021,1465107573632376838,1,@stefangagne @jhadleyconrad @HadasThier It’s not true. Biden can make vaccines available to every country and hasn’t. The fact that vaccine patent waivers haven’t been done proves it!   https://t.co/KgLHpa7ljR
57,Sun Nov 28 23:58:52 +0000 2021,1465107958061281280,0,"@strobist @offbeatphotog For every political action, there is an equal and opposite action. Divisive politics will always be here, COVID was just the outrage du jour. https://t.co/Q0YVVugXdV"
58,Sun Nov 28 23:53:55 +0000 2021,1465106714907201546,0,"@lubiephil It already has escaped its in NSW the state that shares every mutant strain of Covid after the Morrison gov imports it. Call the election scuntmo. No quarantine centres, no water bombers no closure of borders. New variants welcomed by Scott and spread by LNP NSW. ICAC #AlboForPM"
59,Sun Nov 28 23:55:52 +0000 2021,1465107205343043587,0,@JosephAaronOBr1 New Article: Was Dr. Andreas Noack murdered for what he discovered? #noack #austria #grapheneoxide #murder #virus #covid #coronavirus #raid #trump #biden   https://t.co/OtPvb8rqUt
60,Sun Nov 28 23:56:00 +0000 2021,1465107237018374146,0,@leehsienloong @mindefsg How could S'pore find out if Omicron is spreading inside when MOH announced on 2 Oct someone tested + with ART but no sympt cld just recover at home? Thus it is likely that Omicron is now spreading coz MOH hasn't been test sequencing for more than1.5 mths  https://t.co/AtbRaLmLzd
61,Sun Nov 28 23:58:22 +0000 2021,1465107833142317060,0,@jonallendc @blankslate2017 Is that his Covid toe? Lol.
62,Sun Nov 28 23:55:33 +0000 2021,1465107123466117122,1,Media panic that new COVID variant could pose 'significant threat' to Joe Biden's agenda - TheBlaze https://t.co/dFEDWAJCY7
