,time,id,like,text
0,Mon Nov 29 23:59:35 +0000 2021,1465470525635907588,6,okay like she’s out w leigh’s ex (wc i’m 100% sure leigh-anne doesn’t even care ab) but how is no one talking ab how she recently got covid and suddenly going out like ??? haven’t had time to write songs for confetti but goes on a night out days after getting covid
1,Mon Nov 29 23:56:17 +0000 2021,1465469695037956103,138,"Just stop for a second and think. It's nearly two years since ""2 weeks to flatten the curve"" and they're now dictating your panto to playdate ratio for the week. This insidious invasion of all our lives is getting worse, not better.  https://t.co/mPUvkocvZF https://t.co/ltMhwre7uQ"
2,Mon Nov 29 23:55:00 +0000 2021,1465469372751695877,0,"@Breaking911 Great! Get vaxxed people! The COVID vax is simply a medication, it's not the mark of the beast! As it has nothing to do with buying and selling. The real mark is all about buying and selling!  https://t.co/FD7DwLG2UZ"
3,Mon Nov 29 23:55:26 +0000 2021,1465469483502354432,1,@hmwsgx I think we just have to accept a new normal.  We are going to live with Covid variants the rest of our lives.  That means regular new vaccinations as necessary. It will probably slow down quite a bit from global epidemic status. But it seems like it's here to stay.
4,Mon Nov 29 23:59:50 +0000 2021,1465470592040288258,6,"@itsJeffTiedrich @Charlie85915085 We spent thanksgiving visiting family in Michigan. Currently the highest rate of infection in the US, and we were pretty much the only ones wearing masks in stores. It’s like there was no such thing as COVID."
5,Mon Nov 29 23:58:33 +0000 2021,1465470267757453313,6,Enforcement begins today for L.A.'s COVID-19 vaccine requirements https://t.co/pTHmK4veT4
6,Mon Nov 29 23:57:34 +0000 2021,1465470018162884613,2,@petemcguiness Because they know some of the contents in it are poisonous chemicals!!!  Mixed together you don’t know how it will react in people!  Here a break down of Pfizer contents! https://t.co/FEcyNGUSvX
7,Mon Nov 29 23:59:25 +0000 2021,1465470483927871495,5,What if the science leads to the vaccinated causing the mutation of Covid? Would there be a vaccination test and those found to be vaccinated thrown in camps? Asking for a friend.
8,Mon Nov 29 23:54:34 +0000 2021,1465469264610017280,0,"BC announces 970 new coronavirus, 189 in Interior Health https://t.co/QwNfHdB2aD https://t.co/nE6qj3C6vx"
9,Mon Nov 29 23:59:01 +0000 2021,1465470383377764354,0,Micheal Martin: Removal of the domestic COVID pass in Ireland - Sign the Petition! https://t.co/q4dJKoDu1Z via @Change
10,Mon Nov 29 23:57:22 +0000 2021,1465469968884011011,0,"If unvaccinated employees present a financial risk to their employer (healthcare costs, lost productivity), should they be expected to pay a higher portion of the insurance and benefits premiums? . . . #covid #healthcare #benefits #employeebenefits #vaccine  #yeg https://t.co/XBhTILl2Ub"
11,Mon Nov 29 23:54:27 +0000 2021,1465469236441194500,1,"Incarceration rates in the NWT are at an all time low. We have capacity for 252 but only 74 inmates. COVID plays a big role in this, hard to tell how much crime has gone down or just enforcement of it. Still a backlog in the courts but also push for alternative measures. #NWTpoli"
12,Mon Nov 29 23:58:39 +0000 2021,1465470292726370305,0,"OMICRON INBOUND: It is only a “matter of time” that the COVID-19 variant Omicron will arrive in the United States and, eventually, Kansas. https://t.co/KV7xjDqzoL"
13,Mon Nov 29 23:56:06 +0000 2021,1465469651094171648,1,@MarloWordyBird Christchurch 100% compliance and zero covid.  Wonder if there's a connection?
14,Mon Nov 29 23:55:38 +0000 2021,1465469531225305090,0,@Billius27 Not to worry.  @JustinTrudeau is banning all flights from AFRICA.  Also @fordnation is not easing anything.  It’s time to get vigilant.  booster time for 🇨🇦 👍 ~ @pfizer
15,Mon Nov 29 23:57:21 +0000 2021,1465469966782767110,65,"@Caoimhinn55 Great to hear. My going away lunch was cancelled because I said I’ve no covid cert. Manager said she was even worried herself, even though she is boosted. So they arranged Zoom call instead. Tripled jabbed people even worried about getting sick - what is the point of the jab?"
